"Time","MilaAspectDpuMode"
2025-08-22 15:26:08,PAYLOAD_IDLE
2025-08-22 15:26:18,PAYLOAD_IDLE
2025-08-22 15:26:28,PAYLOAD_IDLE
2025-08-22 15:26:38,PAYLOAD_IDLE
2025-08-22 15:26:48,PAYLOAD_IDLE
2025-08-22 15:26:58,PAYLOAD_IDLE
2025-08-22 15:27:08,PAYLOAD_IDLE
2025-08-22 15:27:18,PAYLOAD_IDLE
2025-08-22 15:27:28,PAYLOAD_IDLE
2025-08-22 15:27:38,PAYLOAD_IDLE
2025-08-22 15:27:48,PAYLOAD_IDLE
2025-08-22 15:27:58,PAYLOAD_IDLE
2025-08-22 15:28:08,PAYLOAD_IDLE
2025-08-22 15:28:18,PAYLOAD_IDLE
2025-08-22 15:28:28,PAYLOAD_IDLE
2025-08-22 15:28:38,PAYLOAD_IDLE
2025-08-22 15:28:57,PAYLOAD_IDLE
2025-08-22 15:29:07,IMAGER_ON
2025-08-22 15:29:17,IMAGER_ON
2025-08-22 15:29:27,IMAGER_ON
2025-08-22 15:29:37,IMAGER_ON
2025-08-22 15:29:47,IMAGER_ON
2025-08-22 15:29:57,IMAGER_ON
2025-08-22 15:30:07,IMAGER_ON
2025-08-22 15:30:17,IMAGER_ON
2025-08-22 15:30:27,IMAGER_ON
2025-08-22 15:30:37,IMAGER_ON
2025-08-22 15:30:47,IMAGER_ON
2025-08-22 15:30:57,IMAGER_ON
2025-08-22 15:31:07,IMAGER_ON
2025-08-22 15:31:17,IMAGER_ON
2025-08-22 15:31:27,IMAGER_ON
2025-08-22 15:31:37,IMAGER_ON
2025-08-22 15:31:47,IMAGER_ON
2025-08-22 15:31:57,IMAGER_ON
2025-08-22 15:32:07,IMAGER_ON
2025-08-22 15:32:17,IMAGER_ON
2025-08-22 15:32:27,IMAGER_ON
2025-08-22 15:32:37,IMAGER_ON
2025-08-22 15:32:47,IMAGER_ON
2025-08-22 15:32:57,IMAGER_ON
2025-08-22 15:33:07,IMAGER_ON
2025-08-22 15:33:17,IMAGER_ON
2025-08-22 15:33:27,IMAGER_ON
2025-08-22 15:33:37,IMAGER_ON
2025-08-22 15:33:47,ACQUIRING
2025-08-22 15:33:57,ACQUIRING
2025-08-22 15:34:07,ACQUIRING
2025-08-22 15:34:17,ACQUIRING
2025-08-22 15:34:27,ACQUIRING
2025-08-22 15:34:37,ACQUIRING
2025-08-22 15:34:47,ACQUIRING
2025-08-22 15:34:57,ACQUIRING
2025-08-22 15:35:07,ACQUIRING
2025-08-22 15:35:17,ACQUIRING
2025-08-22 15:35:27,ACQUIRING
2025-08-22 15:35:37,ACQUIRING
2025-08-22 15:35:47,ACQUIRING
2025-08-22 15:35:57,ACQUIRING
2025-08-22 15:36:07,ACQUIRING
2025-08-22 15:36:17,ACQUIRING
2025-08-22 15:36:27,ACQUIRING
2025-08-22 15:36:37,ACQUIRING
2025-08-22 15:36:47,ACQUIRING
2025-08-22 15:36:57,ACQUIRING
2025-08-22 15:37:07,ACQUIRING
2025-08-22 15:37:17,ACQUIRING
2025-08-22 15:37:27,ACQUIRING
2025-08-22 15:37:37,ACQUIRING
2025-08-22 15:37:47,ACQUIRING
2025-08-22 15:37:57,ACQUIRING
2025-08-22 15:38:07,ACQUIRING
2025-08-22 15:38:17,ACQUIRING
2025-08-22 15:38:27,ACQUIRING
2025-08-22 15:38:37,ACQUIRING
2025-08-22 15:38:47,ACQUIRING
2025-08-22 15:38:57,ACQUIRING
2025-08-22 15:39:08,ACQUIRING
2025-08-22 15:39:18,ACQUIRING
2025-08-22 15:39:28,ACQUIRING
2025-08-22 15:39:38,ACQUIRING
2025-08-22 15:39:48,ACQUIRING
2025-08-22 15:39:58,ACQUIRING
2025-08-22 15:40:08,ACQUIRING
2025-08-22 15:40:18,ACQUIRING
2025-08-22 15:40:28,ACQUIRING
2025-08-22 15:40:38,ACQUIRING
2025-08-22 15:40:48,ACQUIRING
2025-08-22 15:40:58,ACQUIRING
2025-08-22 15:41:08,ACQUIRING
2025-08-22 15:41:18,ACQUIRING
2025-08-22 15:41:28,ACQUIRING
2025-08-22 15:41:38,ACQUIRING
2025-08-22 15:41:48,ACQUIRING
2025-08-22 15:41:58,ACQUIRING
2025-08-22 15:42:08,ACQUIRING
2025-08-22 15:42:18,ACQUIRING
2025-08-22 15:42:28,ACQUIRING
2025-08-22 15:42:38,ACQUIRING
2025-08-22 15:42:48,ACQUIRING
2025-08-22 15:42:58,ACQUIRING
2025-08-22 15:43:08,ACQUIRING
2025-08-22 15:43:18,ACQUIRING
2025-08-22 15:43:28,IMAGER_ON
2025-08-22 15:43:38,IMAGER_ON
2025-08-22 15:43:48,IMAGER_ON
2025-08-22 15:43:58,IMAGER_ON
2025-08-22 15:44:08,IMAGER_ON
2025-08-22 15:44:18,IMAGER_ON
2025-08-22 15:44:28,IMAGER_ON
2025-08-22 15:44:37,IMAGER_ON
2025-08-22 15:44:48,IMAGER_ON
2025-08-22 15:44:58,IMAGER_ON
2025-08-22 15:45:08,IMAGER_ON
2025-08-22 15:45:18,IMAGER_ON
2025-08-22 15:45:28,IMAGER_ON
2025-08-22 15:45:38,IMAGER_ON
2025-08-22 15:45:48,IMAGER_ON
2025-08-22 15:45:58,IMAGER_ON
2025-08-22 15:46:08,IMAGER_ON
2025-08-22 15:46:18,IMAGER_ON
2025-08-22 15:46:28,IMAGER_ON
2025-08-22 15:46:38,IMAGER_ON
2025-08-22 15:46:48,IMAGER_ON
2025-08-22 15:46:58,IMAGER_ON
2025-08-22 15:47:08,IMAGER_ON
2025-08-22 15:47:18,IMAGER_ON
2025-08-22 15:47:28,IMAGER_ON
2025-08-22 15:47:38,IMAGER_ON
2025-08-22 15:47:48,IMAGER_ON
2025-08-22 15:47:58,IMAGER_ON
2025-08-22 15:48:08,IMAGER_ON
2025-08-22 15:48:18,IMAGER_ON
2025-08-22 15:48:28,IMAGER_ON
2025-08-22 15:48:38,IMAGER_ON
2025-08-22 15:48:48,IMAGER_ON
2025-08-22 15:48:58,IMAGER_ON
2025-08-22 15:49:08,IMAGER_ON
2025-08-22 15:49:18,IMAGER_ON
2025-08-22 15:49:28,IMAGER_ON
2025-08-22 15:49:38,IMAGER_ON
2025-08-22 15:49:48,IMAGER_ON
2025-08-22 15:49:58,IMAGER_ON
2025-08-22 15:50:08,IMAGER_ON
2025-08-22 15:50:18,IMAGER_ON
2025-08-22 15:50:28,IMAGER_ON
2025-08-22 15:50:38,IMAGER_ON
2025-08-22 15:50:48,IMAGER_ON
2025-08-22 15:50:58,IMAGER_ON
2025-08-22 15:51:08,IMAGER_ON
2025-08-22 15:51:18,IMAGER_ON
2025-08-22 15:51:28,IMAGER_ON
2025-08-22 15:51:38,IMAGER_ON
2025-08-22 15:51:48,IMAGER_ON
2025-08-22 15:51:58,IMAGER_ON
2025-08-22 15:52:08,IMAGER_ON
2025-08-22 15:52:18,IMAGER_ON
2025-08-22 15:52:28,IMAGER_ON
2025-08-22 15:52:38,IMAGER_ON
2025-08-22 15:52:48,IMAGER_ON
2025-08-22 15:52:58,IMAGER_ON
2025-08-22 15:54:28,IMAGER_ON
2025-08-22 15:55:58,IMAGER_ON
2025-08-22 15:56:08,IMAGER_ON
2025-08-22 15:56:18,IMAGER_ON
2025-08-22 15:56:28,IMAGER_ON
2025-08-22 15:56:38,IMAGER_ON
2025-08-22 15:56:48,PAYLOAD_IDLE
2025-08-22 15:56:58,PAYLOAD_IDLE
2025-08-22 15:57:08,PAYLOAD_IDLE
